COLEC10,ZBTB43,DNAJB14,CTBS,MSH3,Symbol
4.871580506,6.162581803,8.044336724,8.439296575,6.838025236,ehcc
6.024108,7.2589746,7.778486,9.231505,8.18861,hgdn
7.37769382,6.235295491,7.699625029,8.523009983,5.282388676,lgdn
4.156177699,7.335649925,7.364655531,7.740909775,6.779664419,phcc
8.167601,7.6568685,7.9019303,9.37027,7.943593,sl
